runway,method,epoch,train_rmse,test_rmse,train_r2,test_r2,train_mae,test_mae,best_params,cv_score,timestamp
RWY 28 (BEG),hyperparameter_tuning,100,49.49626659419369,52.835453333957226,0.9947442026486939,0.9926162864509182,11.833997966068063,12.183501287969964,"{'subsample': 0.9, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 1.0}",0.9903770766869969,2025-07-18 23:40:05
RWY 28 (BEG),fixed_params,10,252.762565522193,227.58465279839803,0.8629373144769785,0.8630033625053706,182.92537469836614,168.76110431747804,"{'n_estimators': 10, 'method': 'fixed'}",N/A,2025-07-18 23:40:05
RWY 28 (BEG),fixed_params,25,88.76724322233017,69.66125315620957,0.9830956221189968,0.9871646850591569,50.03523593705824,41.821333622648865,"{'n_estimators': 25, 'method': 'fixed'}",N/A,2025-07-18 23:40:05
RWY 28 (BEG),fixed_params,20,113.21126335671534,94.46956315893365,0.972503779555535,0.9763947949141063,72.98801302372708,64.0719784533801,"{'n_estimators': 20, 'method': 'fixed'}",N/A,2025-07-18 23:40:05
RWY 28 (MID),hyperparameter_tuning,100,29.518800045554457,42.5110107164567,0.9987689199311003,0.9966736110041675,9.388989176924202,10.580229720043329,"{'subsample': 0.9, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 1.0}",0.997180068309312,2025-07-18 23:41:13
RWY 28 (MID),fixed_params,10,300.0247383824392,271.2739250166843,0.8728246231620418,0.8645477335067394,236.54376250002508,217.2885457258332,"{'n_estimators': 10, 'method': 'fixed'}",N/A,2025-07-18 23:41:13
RWY 28 (MID),fixed_params,25,78.82772522157703,81.8064912788595,0.991220962788963,0.9876818438252429,56.096888882916325,52.46497741123274,"{'n_estimators': 25, 'method': 'fixed'}",N/A,2025-07-18 23:41:13
RWY 28 (MID),fixed_params,20,115.45848488939716,111.24024361811252,0.9811660848277335,0.9772231303349884,87.67984038147033,81.32551044053295,"{'n_estimators': 20, 'method': 'fixed'}",N/A,2025-07-18 23:41:14
RWY 28 (TDZ),hyperparameter_tuning,200,76.69034515592408,68.84940051855051,0.992336302850605,0.9912237729014426,17.51532289125024,17.491305759638806,"{'subsample': 1.0, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.15, 'gamma': 0.1, 'colsample_bytree': 0.9}",0.9892986645060157,2025-07-18 23:42:14
RWY 28 (TDZ),fixed_params,10,323.5617480587509,281.10915658505445,0.8635821201914518,0.8536955584546074,250.49375071277152,231.87824371691855,"{'n_estimators': 10, 'method': 'fixed'}",N/A,2025-07-18 23:42:14
RWY 28 (TDZ),fixed_params,25,112.59406294870035,93.41704911455447,0.983480841082409,0.9838430338330157,66.46893639829356,58.50398706829253,"{'n_estimators': 25, 'method': 'fixed'}",N/A,2025-07-18 23:42:14
RWY 28 (TDZ),fixed_params,20,143.9272778340801,121.8286419393586,0.9730074961310713,0.9725206577912487,98.74934436634214,89.12659832077107,"{'n_estimators': 20, 'method': 'fixed'}",N/A,2025-07-18 23:42:14
RWY 29 (BEG),hyperparameter_tuning,300,23.733532006870927,43.75982959492269,0.9988012611084366,0.9965568061952315,6.558595665711049,10.61746335327225,"{'subsample': 1.0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 0.9}",0.9973940827366604,2025-07-18 23:43:22
RWY 29 (BEG),fixed_params,10,249.2218447946736,272.1385490764804,0.8678180788306858,0.8668349201213944,176.4697983653024,183.86929174505693,"{'n_estimators': 10, 'method': 'fixed'}",N/A,2025-07-18 23:43:23
RWY 29 (BEG),fixed_params,25,72.67174952663254,84.09966259722118,0.9887609118302669,0.9872825883022356,44.51605664545711,48.01858451233708,"{'n_estimators': 25, 'method': 'fixed'}",N/A,2025-07-18 23:43:23
RWY 29 (BEG),fixed_params,20,101.25505308998252,113.41897424708011,0.978181079580884,0.9768696792913468,67.57155650602424,72.11062492802651,"{'n_estimators': 20, 'method': 'fixed'}",N/A,2025-07-18 23:43:23
RWY 29 (MID),hyperparameter_tuning,300,26.6569013652292,128.30883579201404,0.9988641805333187,0.9774252953351681,9.547465303569615,18.747944091389847,"{'subsample': 1.0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 0.9}",0.9964651631352469,2025-07-18 23:44:36
RWY 29 (MID),fixed_params,10,286.727671536655,314.3194681020997,0.8685897645367051,0.8645273861683411,227.02957608423725,245.8225317490415,"{'n_estimators': 10, 'method': 'fixed'}",N/A,2025-07-18 23:44:37
RWY 29 (MID),fixed_params,25,83.78934999073752,113.76885588267935,0.9887780683205861,0.9822517421452396,58.097780104651186,67.58123020315743,"{'n_estimators': 25, 'method': 'fixed'}",N/A,2025-07-18 23:44:37
RWY 29 (MID),fixed_params,20,116.54498435530509,141.77791240089925,0.9782891336690946,0.9724370242426607,87.13273834238541,97.83462134636059,"{'n_estimators': 20, 'method': 'fixed'}",N/A,2025-07-18 23:44:37
