Datetime,RWY 09 (BEG),RWY 10 (TDZ),RWY 11 (BEG),RWY 11 (TDZ),RWY 27 (MID),RWY 28 (MID),RWY 28 (BEG),RWY 28 (TDZ),RWY 29 (BEG),RWY 09 (TDZ),RWY 29 (MID),RWY_09_BEG_predicted,RWY_09_TDZ_predicted,RWY_10_TDZ_predicted,RWY_11_BEG_predicted,RWY_11_TDZ_predicted,RWY_27_MID_predicted,RWY_28_BEG_predicted,RWY_28_MID_predicted,RWY_28_TDZ_predicted,RWY_29_BEG_predicted,RWY_29_MID_predicted
2024-02-15 22:50:00,2418.383333333333,1501.15,1656.7142857142858,3333.0,3301.7833333333333,3333.0,2721.576271186441,2773.4666666666667,2656.766666666667,3225.5593220338983,1127.728813559322,2436.2148,3291.6143,1560.5958,1968.2389,3331.3645,3098.8547,2785.5217,3331.0073,2906.3457,2817.3774,1678.046
2024-02-15 23:00:00,2065.4666666666667,1451.8166666666666,1500.1896551724135,3333.0,3214.5666666666666,3333.0,2635.1,2622.383333333333,2786.133333333333,3188.4666666666667,382.95,2401.869,2760.5054,1518.5127,1631.7952,3331.3645,3273.07,2693.2612,3331.0073,2769.0735,2694.944,1037.5168
2024-02-15 23:10:00,2079.2166666666667,1469.8666666666666,1641.1,3333.0,3182.383333333333,3333.0,2560.483333333333,2585.491525423729,2807.366666666667,793.9661016949152,1681.9830508474577,2027.5767,3134.1968,1412.1342,1469.0713,3331.3645,3156.346,2592.6194,3331.0073,2632.7,2819.7732,812.2015
2024-02-15 23:20:00,1996.6833333333332,1416.5833333333333,1715.1666666666667,3333.0,3188.05,3314.733333333333,2559.366666666667,2490.0,2797.05,481.9,1403.1333333333334,2141.6826,1025.2404,1481.7189,1678.0264,3331.3645,3190.6074,2543.1658,3331.0073,2561.8066,2847.984,1763.8173
2024-02-15 23:30:00,2026.1666666666667,1362.85,1401.4406779661017,3333.0,2997.9166666666665,3333.0,2490.3166666666666,2373.1,2744.65,696.5084745762712,909.2203389830509,1972.9978,801.2154,1410.3002,1769.1976,3331.3645,3184.8752,2562.3784,3271.9736,2495.0757,2795.5662,1095.782
2024-02-15 23:40:00,1980.45,1402.3666666666666,2116.581818181818,3333.0,2717.55,3210.733333333333,2367.766666666667,2351.25,2392.1,2166.0666666666666,2076.254237288136,2028.0063,810.60065,1362.2534,1375.0461,3331.3645,2963.7397,2502.117,3326.4792,2352.2834,2720.527,1190.3677
2024-02-15 23:50:00,2055.366666666667,1414.35,1576.0350877192982,3333.0,2999.45,3142.9166666666665,2300.383333333333,2297.633333333333,2045.4666666666667,1398.6610169491526,1745.75,1972.9978,1979.3202,1422.6892,2169.9697,3331.3645,2640.2385,2357.5442,3128.8708,2342.6118,2360.2617,2133.386
2024-02-16 00:00:00,2102.3728813559323,1361.8305084745762,1971.050847457627,3333.0,2948.627118644068,3312.35593220339,2322.4745762711864,2297.2881355932204,2042.033898305085,523.7586206896551,1578.3620689655172,2144.4758,744.91583,1410.3002,1560.3134,3331.3645,3042.7888,2300.5334,3116.6252,2284.2524,1969.9741,1680.0994
2024-02-16 00:10:00,2207.1,1338.8166666666666,1519.7627118644068,3333.0,2889.2833333333333,3233.95,2363.233333333333,2528.616666666667,1572.9,149.2,948.15,2129.2358,639.11993,1362.2534,1947.0734,3331.3645,2943.752,2324.3982,3282.8047,2284.2524,2029.6085,1530.6636
2024-02-16 00:20:00,2220.4166666666665,1439.9,2210.7,3333.0,2559.05,3333.0,2583.866666666667,2542.4,1422.05,1615.3389830508474,1114.7966101694915,2281.0823,1057.6127,1342.6876,1488.3824,3331.3645,2872.6492,2382.333,3189.9624,2651.8364,1519.6469,1180.9606
2024-02-16 00:30:00,2209.3166666666666,1415.8,2780.6666666666665,3333.0,3172.383333333333,3300.366666666667,2622.383333333333,2464.5,1783.1166666666666,3333.0,1631.9833333333331,2246.3364,3014.739,1488.0193,2475.5452,3331.3645,2503.6978,2708.6116,3320.9724,2593.9763,1339.3997,1212.1229
2024-02-16 00:40:00,2129.35,1383.6333333333334,2547.883333333333,2712.490566037736,3066.3166666666666,3294.45,2576.733333333333,2507.6666666666665,2063.2166666666667,3333.0,2257.627118644068,2226.6328,3254.774,1410.3002,3036.7021,3331.3645,3216.704,2676.229,3223.844,2456.37,1940.2865,1869.8866
2024-02-16 00:50:00,2140.35,1347.4833333333331,2926.6,2185.237288135593,2791.5,3253.3050847457625,2647.2,2517.5333333333333,1235.2,3333.0,3273.3050847457625,2093.3005,3278.826,1374.9774,2562.0867,2085.9138,2984.5457,2570.144,3246.977,2536.9053,2155.8274,2692.9148
2024-02-16 01:00:00,1871.8833333333332,1261.3833333333334,2689.706896551724,2294.245614035088,2667.766666666667,2888.25,2202.1525423728813,2108.15,921.25,3333.0,3149.5333333333333,2180.7507,3331.292,1342.6876,3001.043,2367.3665,2737.044,2629.1987,3229.8289,2526.567,1209.1418,3247.0698
2024-02-16 01:10:00,1641.0333333333333,1047.033898305085,925.7241379310344,1775.196428571429,2063.983333333333,2239.083333333333,1732.3,1864.9833333333331,848.0,3333.0,2292.627118644068,1785.0089,3331.292,1202.9656,2647.2,2374.3308,2636.1692,2148.6953,2795.2566,2013.0287,1071.2303,3032.5962
2024-02-16 01:20:00,1217.05,945.5,712.8644067796611,1833.4814814814813,1623.0677966101696,1866.55,1613.4166666666667,1765.8,1125.8,3333.0,3033.266666666667,1589.3533,3331.292,1003.33905,966.3989,1730.8735,1883.7858,1710.4779,2129.7642,1761.9235,870.66895,2095.0593
2024-02-16 01:30:00,1135.5666666666666,877.25,695.2666666666667,1523.0169491525423,1366.2,1793.1666666666667,1636.1833333333334,1442.1333333333334,1078.25,1963.8983050847455,1761.033898305085,1183.669,3331.292,919.61755,958.22107,1834.3398,1435.6927,1651.8258,1694.7462,1720.1227,1127.1904,3089.3735
2024-02-16 01:40:00,1068.949152542373,824.1833333333333,872.5666666666667,1135.4,1231.1166666666666,1625.9166666666667,1458.1833333333334,1430.6166666666666,1001.5166666666668,2045.75,2101.0333333333333,1121.761,1941.734,832.45685,706.51355,1519.6282,1287.5383,1635.9884,1773.4849,1387.2023,1077.7659,2168.1714
2024-02-16 01:50:00,1236.85,826.65,1203.55,925.9655172413792,1365.6833333333334,1585.2166666666667,1590.3,1405.5593220338983,1006.7333333333332,2931.0677966101694,1749.3898305084747,1083.6323,2599.2588,838.87775,876.09814,1098.9003,1251.0875,1421.4447,1595.9542,1377.4613,984.7239,2235.0386
2024-02-16 02:00:00,1224.85,838.2,1344.9,943.1379310344828,1531.2333333333331,1468.0333333333333,1658.5666666666666,1453.4833333333331,936.2166666666668,2817.728813559322,2367.491525423729,1315.9,3192.8206,841.45514,1235.9248,971.86743,1411.7308,1642.1426,1587.8102,1416.2416,1008.7286,1687.5046
2024-02-16 02:10:00,1208.6166666666666,842.7666666666667,1478.8305084745762,902.0,1488.7666666666669,1325.2833333333333,1820.3666666666663,585.4833333333333,950.4666666666668,2191.05,1630.1,1223.6289,2637.2751,857.55286,1420.6052,996.8471,1649.156,1727.0983,1427.0978,1475.3472,929.3922,2407.3843
2024-02-16 02:20:00,1174.4666666666667,838.2,1796.728813559322,861.7833333333333,1420.0333333333333,1184.9166666666667,2021.1833333333332,16.0,997.0,3290.3898305084745,2325.1525423728813,1236.5664,2112.0256,857.55286,1559.7614,912.81647,1510.0088,1992.1781,1297.2661,605.0584,994.6728,1616.5094
2024-02-16 02:30:00,1236.65,1270.7,2169.55,802.9464285714286,1534.9333333333334,1612.1,2607.1,16.0,1039.1166666666666,3333.0,3333.0,1160.596,3311.083,861.04065,1898.9736,887.1237,1424.1881,2101.8914,1134.4434,12.003529,1034.0262,2525.9294
2024-02-16 02:40:00,1245.3333333333333,1698.5666666666666,2361.4666666666667,711.2727272727273,1635.8,1573.2,3183.583333333333,16.0,1169.2666666666669,3333.0,3333.0,1294.5098,3300.2869,1577.4104,2351.2412,831.89355,1602.2461,2841.1665,1912.7356,104.40372,1084.32,3305.1863
