Datetime,RWY 09 (BEG),RWY 10 (TDZ),RWY 11 (BEG),RWY 11 (TDZ),RWY 27 (MID),RWY 28 (MID),RWY 28 (BEG),RWY 28 (TDZ),RWY 29 (BEG),RWY 09 (TDZ),RWY 29 (MID)
01/01/2024 00:00,3327.576271186441,3333.0,3333.0,3333.0,3333.0,3333.0,3333.0,3333.0,2771.5,3333.0,3333.0
01/01/2024 00:10,3195.883333333333,3333.0,3333.0,3333.0,3333.0,3333.0,3333.0,3333.0,2702.2881355932204,3333.0,3333.0
01/01/2024 00:20,3207.65,3333.0,3333.0,3333.0,3333.0,3333.0,3333.0,3333.0,2655.3333333333335,3333.0,3333.0
01/01/2024 00:30,3281.7,3333.0,3333.0,3333.0,3333.0,3333.0,3333.0,3333.0,2752.186440677966,3333.0,3333.0
01/01/2024 00:40,3300.766666666667,3333.0,3333.0,3333.0,3333.0,3333.0,3333.0,3333.0,2633.7796610169494,3333.0,3333.0
01/01/2024 00:50,3279.5833333333335,3333.0,3333.0,3333.0,3333.0,3333.0,3333.0,3333.0,2421.7,3333.0,3333.0
01/01/2024 01:00,3332.75,3333.0,3333.0,3333.0,3333.0,3333.0,3333.0,3333.0,2341.322033898305,3333.0,3333.0
01/01/2024 01:10,3286.516666666667,3333.0,3333.0,3333.0,3333.0,3333.0,3333.0,3333.0,2310.0677966101694,3333.0,3333.0
01/01/2024 01:20,3151.616666666667,3333.0,3325.116666666667,3333.0,3333.0,3333.0,3333.0,3333.0,2189.75,3333.0,3333.0
01/01/2024 01:30,2605.45,3333.0,2761.64406779661,3333.0,3283.1833333333334,3333.0,3333.0,3333.0,1804.7796610169491,3333.0,3333.0
01/01/2024 01:40,2315.233333333333,3333.0,2437.6101694915255,3168.35593220339,2942.55,3333.0,3333.0,3333.0,1585.0169491525423,3333.0,3333.0
01/01/2024 01:50,2179.866666666667,3333.0,2158.5666666666666,2860.15,2651.2833333333333,3333.0,3333.0,3333.0,1443.1833333333334,3333.0,3333.0
01/01/2024 02:00,2045.8333333333333,3333.0,1983.0677966101696,2851.1525423728813,2445.3166666666666,3333.0,3333.0,3333.0,1355.8983050847457,3249.9830508474574,3333.0
01/01/2024 02:10,1935.7,3333.0,1885.2203389830509,2768.5423728813557,2222.0833333333335,3333.0,3333.0,3333.0,1237.5254237288136,3134.6271186440677,3332.2203389830506
01/01/2024 02:20,1852.55,3333.0,1805.5666666666666,2450.383333333333,2165.1,3333.0,3333.0,3333.0,1198.9666666666667,3303.5833333333335,2993.2833333333333
01/01/2024 02:30,1766.55,3333.0,1743.6101694915253,2430.084745762712,2118.9166666666665,3333.0,3333.0,3333.0,1182.864406779661,3333.0,3214.915254237288
01/01/2024 02:40,1737.0833333333333,3333.0,1693.949152542373,2238.9,2087.116666666667,3333.0,3333.0,3333.0,1165.677966101695,3145.0,3333.0
01/01/2024 02:50,1787.35,3333.0,1642.2666666666667,2332.7966101694915,2071.266666666667,3333.0,3333.0,3333.0,1139.9833333333333,2758.2033898305085,3333.0
01/01/2024 03:00,1826.3666666666666,3333.0,1623.3559322033898,2477.366666666667,2029.75,3333.0,3333.0,3333.0,1117.6101694915253,2540.4166666666665,3333.0
01/01/2024 03:10,1887.8166666666666,3333.0,1589.1698113207547,2434.222222222222,1954.4166666666667,3333.0,3333.0,3333.0,1081.8983050847457,2702.2075471698113,3305.925925925926
01/01/2024 03:20,1855.8333333333333,3333.0,1543.0869565217392,2236.25,1865.65,3333.0,3333.0,3333.0,1065.6666666666667,2755.6222222222223,2952.911111111111
01/01/2024 03:30,1761.2881355932204,3333.0,1512.593220338983,1998.2333333333333,1885.6833333333334,3333.0,3333.0,3333.0,1043.9830508474577,3228.016666666667,3313.0
01/01/2024 03:40,1745.25,3333.0,1481.7796610169491,2099.915254237288,1874.7,3333.0,3333.0,3333.0,1032.5084745762713,3333.0,3333.0
01/01/2024 03:50,1664.3666666666666,3333.0,1465.5,2306.65,1880.9666666666667,3333.0,3333.0,3333.0,1022.95,3240.55,3333.0
01/01/2024 04:00,1649.05,3333.0,1449.2203389830509,2112.3389830508477,1833.3333333333333,3333.0,3333.0,3333.0,1004.0338983050848,2846.6271186440677,3333.0
01/01/2024 04:10,1701.2666666666667,3333.0,1377.3559322033898,2008.1333333333334,1795.6,3333.0,3333.0,3333.0,986.4745762711865,2725.6,3333.0
01/01/2024 04:20,1703.85,3333.0,1396.95,2173.2881355932204,1700.4833333333333,3333.0,3333.0,3333.0,961.3833333333333,2653.8813559322034,3327.8813559322034
01/01/2024 04:30,1716.7833333333333,3333.0,1503.0338983050847,2110.0338983050847,1669.1,3333.0,3333.0,3333.0,929.3728813559322,3016.1525423728813,3333.0
01/01/2024 04:40,1856.35,3333.0,1503.1525423728813,2161.15,1674.8666666666666,3333.0,3333.0,3333.0,918.5762711864406,3333.0,3333.0
01/01/2024 04:50,1836.9833333333333,3333.0,1445.6,2599.084745762712,1674.9666666666667,3333.0,3333.0,3333.0,897.0333333333333,3333.0,3333.0
01/01/2024 05:00,1793.9833333333333,3333.0,1518.0338983050847,2413.1833333333334,1718.5666666666666,3333.0,3333.0,3333.0,893.9491525423729,3333.0,3333.0
01/01/2024 05:10,1823.05,3333.0,1516.406779661017,2280.8813559322034,1799.55,3333.0,3333.0,3333.0,892.9152542372881,3333.0,3333.0
01/01/2024 05:20,1665.280701754386,3333.0,1447.551724137931,2323.830508474576,1812.322033898305,3333.0,3333.0,3333.0,892.3965517241379,3331.655172413793,3333.0
